symbol,trade_date,timestamp_utc,timestamp_et,open,high,low,close,volume,trade_count,vwap
AAL,2021-04-01,2021-04-01 13:30:00+00:00,2021-04-01 09:30:00-04:00,24.02,24.215,23.9,24.07,20982,115,24.049457
AAL,2021-04-01,2021-04-01 13:35:00+00:00,2021-04-01 09:35:00-04:00,24.035,24.145,24.03,24.065,13252,109,24.085787
AAL,2021-04-01,2021-04-01 13:40:00+00:00,2021-04-01 09:40:00-04:00,24.065,24.11,24.045,24.07,10061,59,24.062172
AAL,2021-04-01,2021-04-01 13:45:00+00:00,2021-04-01 09:45:00-04:00,24.05,24.05,23.76,23.77,15984,129,23.87219
AAL,2021-04-01,2021-04-01 13:50:00+00:00,2021-04-01 09:50:00-04:00,23.76,23.825,23.65,23.8,13166,98,23.732387
AAL,2021-04-01,2021-04-01 13:55:00+00:00,2021-04-01 09:55:00-04:00,23.76,23.835,23.74,23.8,10011,82,23.802875
AAL,2021-04-01,2021-04-01 14:00:00+00:00,2021-04-01 10:00:00-04:00,23.81,23.895,23.77,23.895,15530,110,23.856093
AAL,2021-04-01,2021-04-01 14:05:00+00:00,2021-04-01 10:05:00-04:00,23.89,24.02,23.89,24.02,15887,109,23.953469
AAL,2021-04-01,2021-04-01 14:10:00+00:00,2021-04-01 10:10:00-04:00,24.02,24.06,23.98,23.98,19193,90,24.026792
AAL,2021-04-01,2021-04-01 14:15:00+00:00,2021-04-01 10:15:00-04:00,23.96,23.97,23.875,23.905,9821,83,23.921416
AAL,2021-04-01,2021-04-01 14:20:00+00:00,2021-04-01 10:20:00-04:00,23.9,23.9,23.81,23.87,6630,62,23.853279
AAL,2021-04-01,2021-04-01 14:25:00+00:00,2021-04-01 10:25:00-04:00,23.89,23.95,23.85,23.95,6082,61,23.897818
AAL,2021-04-01,2021-04-01 14:30:00+00:00,2021-04-01 10:30:00-04:00,23.94,23.94,23.83,23.86,5415,68,23.876436
AAL,2021-04-01,2021-04-01 14:35:00+00:00,2021-04-01 10:35:00-04:00,23.89,23.89,23.82,23.865,3612,49,23.855517
AAL,2021-04-01,2021-04-01 14:40:00+00:00,2021-04-01 10:40:00-04:00,23.845,23.93,23.845,23.93,5427,63,23.88284
AAL,2021-04-01,2021-04-01 14:45:00+00:00,2021-04-01 10:45:00-04:00,23.96,24.0,23.96,23.975,5853,60,23.970889
AAL,2021-04-01,2021-04-01 14:50:00+00:00,2021-04-01 10:50:00-04:00,23.95,23.955,23.84,23.84,6116,72,23.907
AAL,2021-04-01,2021-04-01 14:55:00+00:00,2021-04-01 10:55:00-04:00,23.84,23.85,23.78,23.83,10603,100,23.815935
AAL,2021-04-01,2021-04-01 15:00:00+00:00,2021-04-01 11:00:00-04:00,23.84,23.885,23.81,23.86,8127,80,23.8507
AAL,2021-04-01,2021-04-01 15:05:00+00:00,2021-04-01 11:05:00-04:00,23.84,23.84,23.74,23.75,6703,69,23.766464
AAL,2021-04-01,2021-04-01 15:10:00+00:00,2021-04-01 11:10:00-04:00,23.75,23.78,23.72,23.775,9813,100,23.745533
AAL,2021-04-01,2021-04-01 15:15:00+00:00,2021-04-01 11:15:00-04:00,23.77,23.77,23.7,23.72,4589,50,23.730955
AAL,2021-04-01,2021-04-01 15:20:00+00:00,2021-04-01 11:20:00-04:00,23.72,23.75,23.69,23.735,6114,69,23.725312
AAL,2021-04-01,2021-04-01 15:25:00+00:00,2021-04-01 11:25:00-04:00,23.755,23.785,23.73,23.775,6202,56,23.758704
AAL,2021-04-01,2021-04-01 15:30:00+00:00,2021-04-01 11:30:00-04:00,23.78,23.8,23.76,23.785,6034,63,23.780577
AAL,2021-04-01,2021-04-01 15:35:00+00:00,2021-04-01 11:35:00-04:00,23.77,23.8,23.76,23.78,5309,67,23.781874
AAL,2021-04-01,2021-04-01 15:40:00+00:00,2021-04-01 11:40:00-04:00,23.77,23.775,23.695,23.7,10282,83,23.744263
AAL,2021-04-01,2021-04-01 15:45:00+00:00,2021-04-01 11:45:00-04:00,23.7,23.72,23.665,23.665,6309,59,23.692212
AAL,2021-04-01,2021-04-01 15:50:00+00:00,2021-04-01 11:50:00-04:00,23.67,23.72,23.67,23.72,5041,43,23.693107
AAL,2021-04-01,2021-04-01 15:55:00+00:00,2021-04-01 11:55:00-04:00,23.715,23.75,23.705,23.72,9003,57,23.720983
AAL,2021-04-01,2021-04-01 16:00:00+00:00,2021-04-01 12:00:00-04:00,23.735,23.765,23.735,23.75,5653,41,23.751111
AAL,2021-04-01,2021-04-01 16:05:00+00:00,2021-04-01 12:05:00-04:00,23.765,23.8,23.76,23.77,11728,79,23.783114
AAL,2021-04-01,2021-04-01 16:10:00+00:00,2021-04-01 12:10:00-04:00,23.765,23.795,23.765,23.79,6836,68,23.775673
AAL,2021-04-01,2021-04-01 16:15:00+00:00,2021-04-01 12:15:00-04:00,23.79,23.845,23.79,23.83,4283,48,23.818368
AAL,2021-04-01,2021-04-01 16:20:00+00:00,2021-04-01 12:20:00-04:00,23.83,23.83,23.81,23.81,3467,33,23.816875
AAL,2021-04-01,2021-04-01 16:25:00+00:00,2021-04-01 12:25:00-04:00,23.81,23.82,23.76,23.76,2089,30,23.791945
AAL,2021-04-01,2021-04-01 16:30:00+00:00,2021-04-01 12:30:00-04:00,23.77,23.79,23.745,23.77,4174,48,23.768571
AAL,2021-04-01,2021-04-01 16:35:00+00:00,2021-04-01 12:35:00-04:00,23.76,23.775,23.75,23.775,1997,24,23.757353
AAL,2021-04-01,2021-04-01 16:40:00+00:00,2021-04-01 12:40:00-04:00,23.78,23.78,23.75,23.77,4263,44,23.769454
AAL,2021-04-01,2021-04-01 16:45:00+00:00,2021-04-01 12:45:00-04:00,23.765,23.8,23.76,23.8,3275,42,23.783
AAL,2021-04-01,2021-04-01 16:50:00+00:00,2021-04-01 12:50:00-04:00,23.8,23.82,23.8,23.8,1791,22,23.808125
AAL,2021-04-01,2021-04-01 16:55:00+00:00,2021-04-01 12:55:00-04:00,23.805,23.81,23.78,23.78,2667,37,23.799318
AAL,2021-04-01,2021-04-01 17:00:00+00:00,2021-04-01 13:00:00-04:00,23.78,23.8,23.77,23.77,1681,27,23.780109
AAL,2021-04-01,2021-04-01 17:05:00+00:00,2021-04-01 13:05:00-04:00,23.76,23.79,23.76,23.77,2003,23,23.776111
AAL,2021-04-01,2021-04-01 17:10:00+00:00,2021-04-01 13:10:00-04:00,23.77,23.78,23.76,23.78,4368,34,23.767953
AAL,2021-04-01,2021-04-01 17:15:00+00:00,2021-04-01 13:15:00-04:00,23.79,23.79,23.72,23.72,7055,51,23.740073
AAL,2021-04-01,2021-04-01 17:20:00+00:00,2021-04-01 13:20:00-04:00,23.74,23.76,23.72,23.76,2833,33,23.738077
AAL,2021-04-01,2021-04-01 17:25:00+00:00,2021-04-01 13:25:00-04:00,23.76,23.76,23.72,23.72,3256,42,23.739483
AAL,2021-04-01,2021-04-01 17:30:00+00:00,2021-04-01 13:30:00-04:00,23.71,23.79,23.705,23.79,4158,38,23.753919
AAL,2021-04-01,2021-04-01 17:35:00+00:00,2021-04-01 13:35:00-04:00,23.79,23.795,23.765,23.77,2281,29,23.784737
AAL,2021-04-01,2021-04-01 17:40:00+00:00,2021-04-01 13:40:00-04:00,23.79,23.83,23.785,23.83,3379,40,23.808707
AAL,2021-04-01,2021-04-01 17:45:00+00:00,2021-04-01 13:45:00-04:00,23.815,23.815,23.79,23.81,3729,31,23.802121
AAL,2021-04-01,2021-04-01 17:50:00+00:00,2021-04-01 13:50:00-04:00,23.815,23.84,23.81,23.825,975,17,23.825714
AAL,2021-04-01,2021-04-01 17:55:00+00:00,2021-04-01 13:55:00-04:00,23.83,23.84,23.81,23.84,1692,25,23.822667
AAL,2021-04-01,2021-04-01 18:00:00+00:00,2021-04-01 14:00:00-04:00,23.83,23.84,23.81,23.84,2353,31,23.824286
AAL,2021-04-01,2021-04-01 18:05:00+00:00,2021-04-01 14:05:00-04:00,23.84,23.845,23.83,23.84,1584,27,23.838077
AAL,2021-04-01,2021-04-01 18:10:00+00:00,2021-04-01 14:10:00-04:00,23.88,23.89,23.875,23.875,2544,25,23.881304
AAL,2021-04-01,2021-04-01 18:15:00+00:00,2021-04-01 14:15:00-04:00,23.865,23.895,23.865,23.895,3407,51,23.8784
AAL,2021-04-01,2021-04-01 18:20:00+00:00,2021-04-01 14:20:00-04:00,23.895,23.91,23.87,23.9,2818,35,23.894423
AAL,2021-04-01,2021-04-01 18:25:00+00:00,2021-04-01 14:25:00-04:00,23.89,23.89,23.88,23.89,1673,25,23.884667
AAL,2021-04-01,2021-04-01 18:30:00+00:00,2021-04-01 14:30:00-04:00,23.9,23.905,23.885,23.885,1885,33,23.894333
AAL,2021-04-01,2021-04-01 18:35:00+00:00,2021-04-01 14:35:00-04:00,23.89,23.915,23.89,23.91,1442,30,23.905
AAL,2021-04-01,2021-04-01 18:40:00+00:00,2021-04-01 14:40:00-04:00,23.91,23.94,23.9,23.925,2940,30,23.913077
AAL,2021-04-01,2021-04-01 18:45:00+00:00,2021-04-01 14:45:00-04:00,23.915,23.915,23.895,23.9,1946,34,23.899583
AAL,2021-04-01,2021-04-01 18:50:00+00:00,2021-04-01 14:50:00-04:00,23.9,23.9,23.82,23.82,5612,67,23.856666
AAL,2021-04-01,2021-04-01 18:55:00+00:00,2021-04-01 14:55:00-04:00,23.82,23.86,23.82,23.85,3346,47,23.836703
AAL,2021-04-01,2021-04-01 19:00:00+00:00,2021-04-01 15:00:00-04:00,23.85,23.88,23.835,23.85,6304,71,23.856373
AAL,2021-04-01,2021-04-01 19:05:00+00:00,2021-04-01 15:05:00-04:00,23.855,23.86,23.84,23.845,6397,76,23.847214
AAL,2021-04-01,2021-04-01 19:10:00+00:00,2021-04-01 15:10:00-04:00,23.845,23.88,23.845,23.855,6720,64,23.862437
