symbol,trade_date,timestamp_utc,timestamp_et,open,high,low,close,volume,trade_count,vwap
DAL,2021-04-01,2021-04-01 13:30:00+00:00,2021-04-01 09:30:00-04:00,48.51,48.79,48.31,48.65,9638,83,48.640462
DAL,2021-04-01,2021-04-01 13:35:00+00:00,2021-04-01 09:35:00-04:00,48.62,48.79,48.62,48.68,7161,80,48.707673
DAL,2021-04-01,2021-04-01 13:40:00+00:00,2021-04-01 09:40:00-04:00,48.645,48.74,48.59,48.695,13574,72,48.660127
DAL,2021-04-01,2021-04-01 13:45:00+00:00,2021-04-01 09:45:00-04:00,48.61,48.625,48.4,48.42,5663,59,48.525272
DAL,2021-04-01,2021-04-01 13:50:00+00:00,2021-04-01 09:50:00-04:00,48.39,48.59,48.29,48.59,5023,53,48.387177
DAL,2021-04-01,2021-04-01 13:55:00+00:00,2021-04-01 09:55:00-04:00,48.53,48.67,48.53,48.67,4311,37,48.60859
DAL,2021-04-01,2021-04-01 14:00:00+00:00,2021-04-01 10:00:00-04:00,48.67,48.84,48.615,48.84,4859,53,48.684641
DAL,2021-04-01,2021-04-01 14:05:00+00:00,2021-04-01 10:05:00-04:00,48.905,49.1,48.905,49.06,6071,54,49.03319
DAL,2021-04-01,2021-04-01 14:10:00+00:00,2021-04-01 10:10:00-04:00,49.1,49.185,48.98,49.01,4912,50,49.09245
DAL,2021-04-01,2021-04-01 14:15:00+00:00,2021-04-01 10:15:00-04:00,48.94,48.98,48.865,48.865,3099,31,48.924643
DAL,2021-04-01,2021-04-01 14:20:00+00:00,2021-04-01 10:20:00-04:00,48.895,48.905,48.82,48.88,3574,31,48.867344
DAL,2021-04-01,2021-04-01 14:25:00+00:00,2021-04-01 10:25:00-04:00,48.87,48.99,48.845,48.99,3008,27,48.888281
DAL,2021-04-01,2021-04-01 14:30:00+00:00,2021-04-01 10:30:00-04:00,48.945,48.945,48.755,48.755,4620,42,48.817875
DAL,2021-04-01,2021-04-01 14:35:00+00:00,2021-04-01 10:35:00-04:00,48.745,48.815,48.74,48.775,2435,33,48.778439
DAL,2021-04-01,2021-04-01 14:40:00+00:00,2021-04-01 10:40:00-04:00,48.755,48.935,48.755,48.915,2837,25,48.851154
DAL,2021-04-01,2021-04-01 14:45:00+00:00,2021-04-01 10:45:00-04:00,48.94,49.0,48.92,48.975,3038,28,48.9746
DAL,2021-04-01,2021-04-01 14:50:00+00:00,2021-04-01 10:50:00-04:00,48.955,48.97,48.85,48.85,3898,41,48.924688
