symbol,trade_date,timestamp_utc,timestamp_et,open,high,low,close,volume,trade_count,vwap
JETS,2021-04-01,2021-04-01 13:30:00+00:00,2021-04-01 09:30:00-04:00,26.935,27.06,26.92,27.06,1688,10,26.938353
JETS,2021-04-01,2021-04-01 13:35:00+00:00,2021-04-01 09:35:00-04:00,27.025,27.045,27.015,27.015,1537,8,27.027192
JETS,2021-04-01,2021-04-01 13:40:00+00:00,2021-04-01 09:40:00-04:00,27.01,27.04,26.99,27.04,1300,9,27.021154
JETS,2021-04-01,2021-04-01 13:45:00+00:00,2021-04-01 09:45:00-04:00,27.01,27.01,26.885,26.89,2428,15,26.962237
JETS,2021-04-01,2021-04-01 13:50:00+00:00,2021-04-01 09:50:00-04:00,26.865,26.93,26.825,26.93,800,10,26.852857
JETS,2021-04-01,2021-04-01 13:55:00+00:00,2021-04-01 09:55:00-04:00,26.915,26.94,26.915,26.94,1000,6,26.9245
JETS,2021-04-01,2021-04-01 14:00:00+00:00,2021-04-01 10:00:00-04:00,26.97,26.985,26.955,26.985,711,5,26.967815
JETS,2021-04-01,2021-04-01 14:05:00+00:00,2021-04-01 10:05:00-04:00,27.085,27.095,27.085,27.09,400,3,27.09
JETS,2021-04-01,2021-04-01 14:10:00+00:00,2021-04-01 10:10:00-04:00,27.125,27.125,27.115,27.115,1320,5,27.117913
JETS,2021-04-01,2021-04-01 14:15:00+00:00,2021-04-01 10:15:00-04:00,27.07,27.07,27.025,27.035,2300,13,27.05
JETS,2021-04-01,2021-04-01 14:20:00+00:00,2021-04-01 10:20:00-04:00,27.04,27.04,26.985,26.985,1690,8,27.005625
JETS,2021-04-01,2021-04-01 14:25:00+00:00,2021-04-01 10:25:00-04:00,27.005,27.025,27.005,27.025,200,2,27.015
JETS,2021-04-01,2021-04-01 14:30:00+00:00,2021-04-01 10:30:00-04:00,27.06,27.06,27.005,27.005,600,6,27.024167
JETS,2021-04-01,2021-04-01 14:35:00+00:00,2021-04-01 10:35:00-04:00,26.99,27.015,26.99,27.015,321,3,27.007212
JETS,2021-04-01,2021-04-01 14:40:00+00:00,2021-04-01 10:40:00-04:00,27.035,27.035,27.025,27.025,551,4,27.028348
JETS,2021-04-01,2021-04-01 14:45:00+00:00,2021-04-01 10:45:00-04:00,27.075,27.085,27.075,27.075,1600,8,27.07625
