symbol,trade_date,timestamp_utc,timestamp_et,open,high,low,close,volume,trade_count,vwap
LUV,2021-04-01,2021-04-01 13:30:00+00:00,2021-04-01 09:30:00-04:00,61.345,61.525,61.22,61.36,6456,67,61.397158
LUV,2021-04-01,2021-04-01 13:35:00+00:00,2021-04-01 09:35:00-04:00,61.35,61.46,61.25,61.31,2442,28,61.378043
LUV,2021-04-01,2021-04-01 13:40:00+00:00,2021-04-01 09:40:00-04:00,61.25,61.38,61.25,61.34,2067,18,61.337
LUV,2021-04-01,2021-04-01 13:45:00+00:00,2021-04-01 09:45:00-04:00,61.215,61.215,60.98,61.025,2248,22,61.081193
LUV,2021-04-01,2021-04-01 13:50:00+00:00,2021-04-01 09:50:00-04:00,60.88,61.08,60.795,61.06,2185,24,60.940093
LUV,2021-04-01,2021-04-01 13:55:00+00:00,2021-04-01 09:55:00-04:00,60.94,61.07,60.94,61.06,1715,17,61.01625
LUV,2021-04-01,2021-04-01 14:00:00+00:00,2021-04-01 10:00:00-04:00,61.09,61.205,61.03,61.205,2611,22,61.082885
LUV,2021-04-01,2021-04-01 14:05:00+00:00,2021-04-01 10:05:00-04:00,61.21,61.375,61.21,61.375,2149,24,61.306155
LUV,2021-04-01,2021-04-01 14:10:00+00:00,2021-04-01 10:10:00-04:00,61.39,61.47,61.29,61.29,1381,15,61.369615
LUV,2021-04-01,2021-04-01 14:15:00+00:00,2021-04-01 10:15:00-04:00,61.26,61.32,61.21,61.32,4953,29,61.277021
LUV,2021-04-01,2021-04-01 14:20:00+00:00,2021-04-01 10:20:00-04:00,61.375,61.375,61.25,61.27,3264,32,61.323216
LUV,2021-04-01,2021-04-01 14:25:00+00:00,2021-04-01 10:25:00-04:00,61.25,61.34,61.19,61.34,1337,14,61.261538
LUV,2021-04-01,2021-04-01 14:30:00+00:00,2021-04-01 10:30:00-04:00,61.36,61.36,61.16,61.16,1203,13,61.232273
LUV,2021-04-01,2021-04-01 14:35:00+00:00,2021-04-01 10:35:00-04:00,61.13,61.22,61.06,61.19,1803,19,61.128235
LUV,2021-04-01,2021-04-01 14:40:00+00:00,2021-04-01 10:40:00-04:00,61.17,61.335,61.17,61.32,3395,32,61.265842
LUV,2021-04-01,2021-04-01 14:45:00+00:00,2021-04-01 10:45:00-04:00,61.3,61.415,61.3,61.32,1662,21,61.365128
LUV,2021-04-01,2021-04-01 14:50:00+00:00,2021-04-01 10:50:00-04:00,61.36,61.4,61.29,61.29,2103,14,61.377619
LUV,2021-04-01,2021-04-01 14:55:00+00:00,2021-04-01 10:55:00-04:00,61.31,61.355,61.18,61.26,2355,25,61.256191
LUV,2021-04-01,2021-04-01 15:00:00+00:00,2021-04-01 11:00:00-04:00,61.25,61.25,61.14,61.16,6492,80,61.177506
LUV,2021-04-01,2021-04-01 15:05:00+00:00,2021-04-01 11:05:00-04:00,61.11,61.13,61.02,61.07,3841,37,61.069459
LUV,2021-04-01,2021-04-01 15:10:00+00:00,2021-04-01 11:10:00-04:00,61.06,61.21,61.06,61.205,1937,20,61.142895
LUV,2021-04-01,2021-04-01 15:15:00+00:00,2021-04-01 11:15:00-04:00,61.23,61.28,61.19,61.22,2596,28,61.2323
LUV,2021-04-01,2021-04-01 15:20:00+00:00,2021-04-01 11:20:00-04:00,61.19,61.24,61.16,61.23,1544,19,61.188572
LUV,2021-04-01,2021-04-01 15:25:00+00:00,2021-04-01 11:25:00-04:00,61.23,61.32,61.23,61.31,1823,27,61.27625
LUV,2021-04-01,2021-04-01 15:30:00+00:00,2021-04-01 11:30:00-04:00,61.3,61.39,61.29,61.38,2189,22,61.34125
LUV,2021-04-01,2021-04-01 15:35:00+00:00,2021-04-01 11:35:00-04:00,61.37,61.42,61.37,61.38,1429,15,61.382692
LUV,2021-04-01,2021-04-01 15:40:00+00:00,2021-04-01 11:40:00-04:00,61.42,61.42,61.35,61.355,1528,15,61.376333
LUV,2021-04-01,2021-04-01 15:45:00+00:00,2021-04-01 11:45:00-04:00,61.36,61.39,61.34,61.345,2576,31,61.360743
LUV,2021-04-01,2021-04-01 15:50:00+00:00,2021-04-01 11:50:00-04:00,61.365,61.47,61.365,61.47,1509,17,61.433929
LUV,2021-04-01,2021-04-01 15:55:00+00:00,2021-04-01 11:55:00-04:00,61.47,61.5,61.45,61.5,2033,22,61.474742
LUV,2021-04-01,2021-04-01 16:00:00+00:00,2021-04-01 12:00:00-04:00,61.52,61.56,61.51,61.51,1927,22,61.525263
LUV,2021-04-01,2021-04-01 16:05:00+00:00,2021-04-01 12:05:00-04:00,61.53,61.55,61.46,61.46,2009,17,61.513
LUV,2021-04-01,2021-04-01 16:10:00+00:00,2021-04-01 12:10:00-04:00,61.46,61.475,61.41,61.41,1620,15,61.444667
LUV,2021-04-01,2021-04-01 16:15:00+00:00,2021-04-01 12:15:00-04:00,61.43,61.47,61.39,61.41,3470,33,61.422424
LUV,2021-04-01,2021-04-01 16:20:00+00:00,2021-04-01 12:20:00-04:00,61.42,61.43,61.38,61.39,1562,12,61.4075
LUV,2021-04-01,2021-04-01 16:25:00+00:00,2021-04-01 12:25:00-04:00,61.37,61.395,61.34,61.34,1503,15,61.369
LUV,2021-04-01,2021-04-01 16:30:00+00:00,2021-04-01 12:30:00-04:00,61.29,61.34,61.29,61.3,2100,25,61.311
LUV,2021-04-01,2021-04-01 16:35:00+00:00,2021-04-01 12:35:00-04:00,61.32,61.32,61.24,61.28,1001,11,61.272
LUV,2021-04-01,2021-04-01 16:40:00+00:00,2021-04-01 12:40:00-04:00,61.27,61.28,61.21,61.21,1508,17,61.240714
LUV,2021-04-01,2021-04-01 16:45:00+00:00,2021-04-01 12:45:00-04:00,61.13,61.215,61.13,61.215,1446,17,61.179643
LUV,2021-04-01,2021-04-01 16:50:00+00:00,2021-04-01 12:50:00-04:00,61.2,61.26,61.2,61.26,1567,17,61.242857
LUV,2021-04-01,2021-04-01 16:55:00+00:00,2021-04-01 12:55:00-04:00,61.255,61.295,61.21,61.21,705,8,61.260714
LUV,2021-04-01,2021-04-01 17:00:00+00:00,2021-04-01 13:00:00-04:00,61.23,61.25,61.22,61.24,1234,13,61.232727
LUV,2021-04-01,2021-04-01 17:05:00+00:00,2021-04-01 13:05:00-04:00,61.24,61.32,61.24,61.29,1262,14,61.290455
LUV,2021-04-01,2021-04-01 17:10:00+00:00,2021-04-01 13:10:00-04:00,61.28,61.28,61.24,61.27,1202,15,61.255455
LUV,2021-04-01,2021-04-01 17:15:00+00:00,2021-04-01 13:15:00-04:00,61.26,61.26,61.15,61.17,1013,13,61.205556
LUV,2021-04-01,2021-04-01 17:20:00+00:00,2021-04-01 13:20:00-04:00,61.19,61.19,61.17,61.19,1132,11,61.183
LUV,2021-04-01,2021-04-01 17:25:00+00:00,2021-04-01 13:25:00-04:00,61.23,61.23,61.19,61.19,1101,9,61.22
LUV,2021-04-01,2021-04-01 17:30:00+00:00,2021-04-01 13:30:00-04:00,61.18,61.33,61.18,61.33,820,11,61.260625
LUV,2021-04-01,2021-04-01 17:35:00+00:00,2021-04-01 13:35:00-04:00,61.33,61.33,61.25,61.25,1263,16,61.282657
LUV,2021-04-01,2021-04-01 17:40:00+00:00,2021-04-01 13:40:00-04:00,61.27,61.34,61.25,61.3,8860,37,61.26707
LUV,2021-04-01,2021-04-01 17:45:00+00:00,2021-04-01 13:45:00-04:00,61.245,61.26,61.21,61.23,1472,14,61.235714
LUV,2021-04-01,2021-04-01 17:50:00+00:00,2021-04-01 13:50:00-04:00,61.24,61.27,61.24,61.27,1540,14,61.253571
LUV,2021-04-01,2021-04-01 17:55:00+00:00,2021-04-01 13:55:00-04:00,61.27,61.28,61.24,61.28,1403,11,61.260714
LUV,2021-04-01,2021-04-01 18:00:00+00:00,2021-04-01 14:00:00-04:00,61.28,61.33,61.28,61.33,1317,20,61.296818
LUV,2021-04-01,2021-04-01 18:05:00+00:00,2021-04-01 14:05:00-04:00,61.33,61.38,61.325,61.37,1435,14,61.339643
LUV,2021-04-01,2021-04-01 18:10:00+00:00,2021-04-01 14:10:00-04:00,61.39,61.42,61.39,61.42,1058,10,61.403333
LUV,2021-04-01,2021-04-01 18:15:00+00:00,2021-04-01 14:15:00-04:00,61.4,61.41,61.37,61.4,858,10,61.396875
LUV,2021-04-01,2021-04-01 18:20:00+00:00,2021-04-01 14:20:00-04:00,61.46,61.46,61.43,61.44,1330,13,61.447692
LUV,2021-04-01,2021-04-01 18:25:00+00:00,2021-04-01 14:25:00-04:00,61.44,61.44,61.365,61.37,1275,13,61.407474
LUV,2021-04-01,2021-04-01 18:30:00+00:00,2021-04-01 14:30:00-04:00,61.37,61.38,61.34,61.37,1926,18,61.369412
LUV,2021-04-01,2021-04-01 18:35:00+00:00,2021-04-01 14:35:00-04:00,61.37,61.4,61.37,61.38,1583,14,61.383423
LUV,2021-04-01,2021-04-01 18:40:00+00:00,2021-04-01 14:40:00-04:00,61.39,61.45,61.39,61.45,1582,19,61.413929
LUV,2021-04-01,2021-04-01 18:45:00+00:00,2021-04-01 14:45:00-04:00,61.44,61.44,61.37,61.37,858,11,61.398571
LUV,2021-04-01,2021-04-01 18:50:00+00:00,2021-04-01 14:50:00-04:00,61.38,61.38,61.3,61.32,1841,21,61.33553
LUV,2021-04-01,2021-04-01 18:55:00+00:00,2021-04-01 14:55:00-04:00,61.3,61.37,61.3,61.32,1143,13,61.314545
LUV,2021-04-01,2021-04-01 19:00:00+00:00,2021-04-01 15:00:00-04:00,61.31,61.33,61.26,61.26,1668,16,61.28503
LUV,2021-04-01,2021-04-01 19:05:00+00:00,2021-04-01 15:05:00-04:00,61.29,61.34,61.29,61.34,3440,32,61.3135
LUV,2021-04-01,2021-04-01 19:10:00+00:00,2021-04-01 15:10:00-04:00,61.34,61.43,61.33,61.37,2026,24,61.374737
LUV,2021-04-01,2021-04-01 19:15:00+00:00,2021-04-01 15:15:00-04:00,61.38,61.54,61.37,61.54,5169,54,61.448936
LUV,2021-04-01,2021-04-01 19:20:00+00:00,2021-04-01 15:20:00-04:00,61.51,61.51,61.41,61.42,2143,25,61.453571
LUV,2021-04-01,2021-04-01 19:25:00+00:00,2021-04-01 15:25:00-04:00,61.42,61.46,61.4,61.42,2450,28,61.441428
LUV,2021-04-01,2021-04-01 19:30:00+00:00,2021-04-01 15:30:00-04:00,61.39,61.39,61.33,61.36,1219,22,61.351667
LUV,2021-04-01,2021-04-01 19:35:00+00:00,2021-04-01 15:35:00-04:00,61.35,61.45,61.345,61.405,1860,25,61.387647
LUV,2021-04-01,2021-04-01 19:40:00+00:00,2021-04-01 15:40:00-04:00,61.43,61.43,61.305,61.32,2599,38,61.347581
LUV,2021-04-01,2021-04-01 19:45:00+00:00,2021-04-01 15:45:00-04:00,61.315,61.395,61.275,61.395,4290,67,61.324346
LUV,2021-04-01,2021-04-01 19:50:00+00:00,2021-04-01 15:50:00-04:00,61.4,61.4,61.34,61.38,6509,75,61.369084
LUV,2021-04-01,2021-04-01 19:55:00+00:00,2021-04-01 15:55:00-04:00,61.39,61.41,61.305,61.33,15274,156,61.373362
LUV,2021-04-05,2021-04-05 13:30:00+00:00,2021-04-05 09:30:00-04:00,62.37,63.14,62.25,63.14,8767,78,62.758826
LUV,2021-04-05,2021-04-05 13:35:00+00:00,2021-04-05 09:35:00-04:00,63.05,63.21,63.02,63.1,4144,36,63.124103
LUV,2021-04-05,2021-04-05 13:40:00+00:00,2021-04-05 09:40:00-04:00,63.02,63.02,62.74,62.74,5199,46,62.856122
LUV,2021-04-05,2021-04-05 13:45:00+00:00,2021-04-05 09:45:00-04:00,62.79,63.13,62.66,63.13,10712,80,62.793146
LUV,2021-04-05,2021-04-05 13:50:00+00:00,2021-04-05 09:50:00-04:00,63.17,63.23,63.08,63.17,5236,49,63.1685
LUV,2021-04-05,2021-04-05 13:55:00+00:00,2021-04-05 09:55:00-04:00,63.22,63.58,63.215,63.49,17120,91,63.477098
LUV,2021-04-05,2021-04-05 14:00:00+00:00,2021-04-05 10:00:00-04:00,63.55,63.96,63.52,63.96,11051,100,63.780307
LUV,2021-04-05,2021-04-05 14:05:00+00:00,2021-04-05 10:05:00-04:00,63.915,63.93,63.6,63.67,13722,65,63.761755
LUV,2021-04-05,2021-04-05 14:10:00+00:00,2021-04-05 10:10:00-04:00,63.57,63.66,63.51,63.57,5937,61,63.587198
LUV,2021-04-05,2021-04-05 14:15:00+00:00,2021-04-05 10:15:00-04:00,63.595,63.89,63.565,63.89,6006,85,63.713438
LUV,2021-04-05,2021-04-05 14:20:00+00:00,2021-04-05 10:20:00-04:00,63.905,63.93,63.71,63.92,5637,89,63.838085
LUV,2021-04-05,2021-04-05 14:25:00+00:00,2021-04-05 10:25:00-04:00,63.89,64.29,63.89,64.28,10711,113,64.102123
LUV,2021-04-05,2021-04-05 14:30:00+00:00,2021-04-05 10:30:00-04:00,64.26,64.26,63.99,63.99,3944,45,64.15
LUV,2021-04-05,2021-04-05 14:35:00+00:00,2021-04-05 10:35:00-04:00,63.98,63.98,63.825,63.83,3919,46,63.901571
LUV,2021-04-05,2021-04-05 14:40:00+00:00,2021-04-05 10:40:00-04:00,63.79,63.79,63.62,63.71,2664,29,63.694
LUV,2021-04-05,2021-04-05 14:45:00+00:00,2021-04-05 10:45:00-04:00,63.67,63.795,63.62,63.79,4040,48,63.684028
LUV,2021-04-05,2021-04-05 14:50:00+00:00,2021-04-05 10:50:00-04:00,63.73,63.74,63.55,63.57,3115,35,63.618621
LUV,2021-04-05,2021-04-05 14:55:00+00:00,2021-04-05 10:55:00-04:00,63.6,63.68,63.6,63.68,2887,34,63.624348
LUV,2021-04-05,2021-04-05 15:00:00+00:00,2021-04-05 11:00:00-04:00,63.56,63.66,63.56,63.66,3459,39,63.59
LUV,2021-04-05,2021-04-05 15:05:00+00:00,2021-04-05 11:05:00-04:00,63.67,63.7,63.56,63.56,2524,27,63.657103
LUV,2021-04-05,2021-04-05 15:10:00+00:00,2021-04-05 11:10:00-04:00,63.6,63.7,63.55,63.61,4496,50,63.622213
LUV,2021-04-05,2021-04-05 15:15:00+00:00,2021-04-05 11:15:00-04:00,63.64,63.71,63.56,63.62,3091,33,63.659455
LUV,2021-04-05,2021-04-05 15:20:00+00:00,2021-04-05 11:20:00-04:00,63.6,63.71,63.6,63.68,3228,36,63.680834
LUV,2021-04-05,2021-04-05 15:25:00+00:00,2021-04-05 11:25:00-04:00,63.69,63.73,63.6,63.71,3857,47,63.677879
LUV,2021-04-05,2021-04-05 15:30:00+00:00,2021-04-05 11:30:00-04:00,63.67,63.76,63.46,63.46,3118,30,63.676667
LUV,2021-04-05,2021-04-05 15:35:00+00:00,2021-04-05 11:35:00-04:00,63.47,63.54,63.38,63.39,3557,44,63.478342
LUV,2021-04-05,2021-04-05 15:40:00+00:00,2021-04-05 11:40:00-04:00,63.36,63.4,63.24,63.24,3165,32,63.356545
LUV,2021-04-05,2021-04-05 15:45:00+00:00,2021-04-05 11:45:00-04:00,63.25,63.25,63.14,63.17,2376,23,63.170652
LUV,2021-04-05,2021-04-05 15:50:00+00:00,2021-04-05 11:50:00-04:00,63.085,63.1,63.005,63.05,3158,30,63.051193
LUV,2021-04-05,2021-04-05 15:55:00+00:00,2021-04-05 11:55:00-04:00,63.04,63.16,62.98,63.13,6689,48,63.062246
LUV,2021-04-05,2021-04-05 16:00:00+00:00,2021-04-05 12:00:00-04:00,63.12,63.3,63.12,63.255,2557,23,63.243258
LUV,2021-04-05,2021-04-05 16:05:00+00:00,2021-04-05 12:05:00-04:00,63.28,63.32,63.1,63.21,4634,43,63.232588
LUV,2021-04-05,2021-04-05 16:10:00+00:00,2021-04-05 12:10:00-04:00,63.25,63.27,63.23,63.24,1585,18,63.258462
LUV,2021-04-05,2021-04-05 16:15:00+00:00,2021-04-05 12:15:00-04:00,63.28,63.3,63.23,63.24,2208,26,63.2705
LUV,2021-04-05,2021-04-05 16:20:00+00:00,2021-04-05 12:20:00-04:00,63.15,63.15,63.07,63.115,1667,19,63.121
LUV,2021-04-05,2021-04-05 16:25:00+00:00,2021-04-05 12:25:00-04:00,63.06,63.32,63.03,63.32,1808,21,63.158125
LUV,2021-04-05,2021-04-05 16:30:00+00:00,2021-04-05 12:30:00-04:00,63.3,63.41,63.3,63.41,1436,15,63.348732
LUV,2021-04-05,2021-04-05 16:35:00+00:00,2021-04-05 12:35:00-04:00,63.35,63.41,63.3,63.3,1102,11,63.365455
LUV,2021-04-05,2021-04-05 16:40:00+00:00,2021-04-05 12:40:00-04:00,63.27,63.33,63.26,63.33,1573,19,63.297692
LUV,2021-04-05,2021-04-05 16:45:00+00:00,2021-04-05 12:45:00-04:00,63.31,63.5,63.3,63.49,4270,46,63.426875
LUV,2021-04-05,2021-04-05 16:50:00+00:00,2021-04-05 12:50:00-04:00,63.5,63.53,63.46,63.47,3355,35,63.488407
LUV,2021-04-05,2021-04-05 16:55:00+00:00,2021-04-05 12:55:00-04:00,63.49,63.49,63.43,63.44,1528,18,63.444231
LUV,2021-04-05,2021-04-05 17:00:00+00:00,2021-04-05 13:00:00-04:00,63.42,63.47,63.34,63.47,3857,41,63.38125
LUV,2021-04-05,2021-04-05 17:05:00+00:00,2021-04-05 13:05:00-04:00,63.44,63.47,63.38,63.38,1766,19,63.433333
LUV,2021-04-05,2021-04-05 17:10:00+00:00,2021-04-05 13:10:00-04:00,63.42,63.42,63.32,63.325,777,9,63.363571
LUV,2021-04-05,2021-04-05 17:15:00+00:00,2021-04-05 13:15:00-04:00,63.34,63.38,63.3,63.36,2651,30,63.341818
LUV,2021-04-05,2021-04-05 17:20:00+00:00,2021-04-05 13:20:00-04:00,63.35,63.37,63.23,63.26,2806,29,63.280385
LUV,2021-04-05,2021-04-05 17:25:00+00:00,2021-04-05 13:25:00-04:00,63.25,63.27,63.18,63.18,2151,26,63.249167
LUV,2021-04-05,2021-04-05 17:30:00+00:00,2021-04-05 13:30:00-04:00,63.155,63.28,63.155,63.28,5483,28,63.202013
LUV,2021-04-05,2021-04-05 17:35:00+00:00,2021-04-05 13:35:00-04:00,63.25,63.26,63.2,63.2,1001,12,63.235
LUV,2021-04-05,2021-04-05 17:40:00+00:00,2021-04-05 13:40:00-04:00,63.2,63.26,63.2,63.26,2895,29,63.233148
LUV,2021-04-05,2021-04-05 17:45:00+00:00,2021-04-05 13:45:00-04:00,63.28,63.37,63.28,63.35,2159,24,63.330242
LUV,2021-04-05,2021-04-05 17:50:00+00:00,2021-04-05 13:50:00-04:00,63.31,63.36,63.3,63.33,2829,32,63.336731
LUV,2021-04-05,2021-04-05 17:55:00+00:00,2021-04-05 13:55:00-04:00,63.32,63.32,63.285,63.31,1420,14,63.305714
LUV,2021-04-05,2021-04-05 18:00:00+00:00,2021-04-05 14:00:00-04:00,63.27,63.375,63.27,63.33,1800,17,63.337222
LUV,2021-04-05,2021-04-05 18:05:00+00:00,2021-04-05 14:05:00-04:00,63.35,63.35,63.265,63.27,2535,29,63.312046
LUV,2021-04-05,2021-04-05 18:10:00+00:00,2021-04-05 14:10:00-04:00,63.25,63.32,63.225,63.31,2200,21,63.286428
LUV,2021-04-05,2021-04-05 18:15:00+00:00,2021-04-05 14:15:00-04:00,63.335,63.4,63.335,63.4,1020,15,63.35625
LUV,2021-04-05,2021-04-05 18:20:00+00:00,2021-04-05 14:20:00-04:00,63.42,63.43,63.3,63.3,4340,44,63.349268
LUV,2021-04-05,2021-04-05 18:25:00+00:00,2021-04-05 14:25:00-04:00,63.31,63.36,63.285,63.36,2930,35,63.32677
LUV,2021-04-05,2021-04-05 18:30:00+00:00,2021-04-05 14:30:00-04:00,63.365,63.38,63.29,63.29,2735,31,63.346981
LUV,2021-04-05,2021-04-05 18:35:00+00:00,2021-04-05 14:35:00-04:00,63.32,63.32,63.27,63.27,2109,23,63.27875
LUV,2021-04-05,2021-04-05 18:40:00+00:00,2021-04-05 14:40:00-04:00,63.285,63.29,63.24,63.27,1787,19,63.268824
LUV,2021-04-05,2021-04-05 18:45:00+00:00,2021-04-05 14:45:00-04:00,63.22,63.27,63.22,63.24,1715,20,63.24125
LUV,2021-04-05,2021-04-05 18:50:00+00:00,2021-04-05 14:50:00-04:00,63.26,63.26,63.16,63.195,2292,35,63.201389
LUV,2021-04-05,2021-04-05 18:55:00+00:00,2021-04-05 14:55:00-04:00,63.23,63.29,63.23,63.28,2400,26,63.270455
LUV,2021-04-05,2021-04-05 19:00:00+00:00,2021-04-05 15:00:00-04:00,63.25,63.25,63.09,63.09,2372,32,63.171945
LUV,2021-04-05,2021-04-05 19:05:00+00:00,2021-04-05 15:05:00-04:00,63.1,63.205,63.1,63.2,3965,37,63.145455
LUV,2021-04-05,2021-04-05 19:10:00+00:00,2021-04-05 15:10:00-04:00,63.24,63.29,63.23,63.27,2033,24,63.26
LUV,2021-04-05,2021-04-05 19:15:00+00:00,2021-04-05 15:15:00-04:00,63.29,63.3,63.28,63.3,1402,15,63.287143
LUV,2021-04-05,2021-04-05 19:20:00+00:00,2021-04-05 15:20:00-04:00,63.31,63.31,63.25,63.27,3045,25,63.283324
LUV,2021-04-05,2021-04-05 19:25:00+00:00,2021-04-05 15:25:00-04:00,63.26,63.265,63.115,63.12,3818,43,63.188724
LUV,2021-04-05,2021-04-05 19:30:00+00:00,2021-04-05 15:30:00-04:00,63.12,63.135,63.03,63.03,5892,59,63.097492
LUV,2021-04-05,2021-04-05 19:35:00+00:00,2021-04-05 15:35:00-04:00,63.04,63.155,63.035,63.13,8922,77,63.086129
LUV,2021-04-05,2021-04-05 19:40:00+00:00,2021-04-05 15:40:00-04:00,63.14,63.14,63.045,63.13,3673,37,63.086389
LUV,2021-04-05,2021-04-05 19:45:00+00:00,2021-04-05 15:45:00-04:00,63.095,63.12,63.0,63.0,5677,47,63.063014
LUV,2021-04-05,2021-04-05 19:50:00+00:00,2021-04-05 15:50:00-04:00,62.95,62.98,62.89,62.97,11349,107,62.940812
LUV,2021-04-05,2021-04-05 19:55:00+00:00,2021-04-05 15:55:00-04:00,62.97,63.04,62.915,62.96,13743,127,62.967908
LUV,2021-04-06,2021-04-06 13:30:00+00:00,2021-04-06 09:30:00-04:00,63.49,63.71,63.27,63.71,6601,59,63.501379
LUV,2021-04-06,2021-04-06 13:35:00+00:00,2021-04-06 09:35:00-04:00,63.745,64.05,63.745,63.92,5653,44,63.931335
LUV,2021-04-06,2021-04-06 13:40:00+00:00,2021-04-06 09:40:00-04:00,63.95,64.11,63.89,64.08,1520,18,63.986154
LUV,2021-04-06,2021-04-06 13:45:00+00:00,2021-04-06 09:45:00-04:00,64.105,64.42,64.105,64.28,1839,19,64.324706
LUV,2021-04-06,2021-04-06 13:50:00+00:00,2021-04-06 09:50:00-04:00,64.29,64.525,64.29,64.525,4371,36,64.441868
LUV,2021-04-06,2021-04-06 13:55:00+00:00,2021-04-06 09:55:00-04:00,64.58,64.59,64.42,64.42,2834,30,64.519192
LUV,2021-04-06,2021-04-06 14:00:00+00:00,2021-04-06 10:00:00-04:00,64.4,64.44,64.285,64.44,2800,27,64.378077
LUV,2021-04-06,2021-04-06 14:05:00+00:00,2021-04-06 10:05:00-04:00,64.26,64.26,63.95,63.96,2386,21,64.015652
LUV,2021-04-06,2021-04-06 14:10:00+00:00,2021-04-06 10:10:00-04:00,64.03,64.12,63.99,64.11,749,10,64.068571
LUV,2021-04-06,2021-04-06 14:15:00+00:00,2021-04-06 10:15:00-04:00,64.2,64.2,64.04,64.18,2942,19,64.122673
LUV,2021-04-06,2021-04-06 14:20:00+00:00,2021-04-06 10:20:00-04:00,64.2,64.2,64.01,64.01,1465,18,64.107246
LUV,2021-04-06,2021-04-06 14:25:00+00:00,2021-04-06 10:25:00-04:00,64.05,64.19,63.99,64.19,1110,12,64.095556
LUV,2021-04-06,2021-04-06 14:30:00+00:00,2021-04-06 10:30:00-04:00,64.2,64.27,64.14,64.26,2329,25,64.19907
