symbol,trade_date,timestamp_utc,timestamp_et,open,high,low,close,volume,trade_count,vwap
UAL,2021-04-01,2021-04-01 13:30:00+00:00,2021-04-01 09:30:00-04:00,57.78,58.25,57.635,58.09,9106,84,57.974762
UAL,2021-04-01,2021-04-01 13:35:00+00:00,2021-04-01 09:35:00-04:00,57.99,58.28,57.965,58.08,4339,40,58.108172
UAL,2021-04-01,2021-04-01 13:40:00+00:00,2021-04-01 09:40:00-04:00,57.98,58.21,57.98,58.11,3295,33,58.073264
UAL,2021-04-01,2021-04-01 13:45:00+00:00,2021-04-01 09:45:00-04:00,58.05,58.05,57.59,57.62,3261,41,57.792593
UAL,2021-04-01,2021-04-01 13:50:00+00:00,2021-04-01 09:50:00-04:00,57.61,57.71,57.39,57.64,5474,53,57.560408
UAL,2021-04-01,2021-04-01 13:55:00+00:00,2021-04-01 09:55:00-04:00,57.7,57.81,57.7,57.79,3154,30,57.731406
UAL,2021-04-01,2021-04-01 14:00:00+00:00,2021-04-01 10:00:00-04:00,57.79,58.01,57.715,57.97,3496,35,57.851212
UAL,2021-04-01,2021-04-01 14:05:00+00:00,2021-04-01 10:05:00-04:00,58.04,58.385,58.035,58.385,5417,46,58.203506
UAL,2021-04-01,2021-04-01 14:10:00+00:00,2021-04-01 10:10:00-04:00,58.43,58.54,58.34,58.34,4722,47,58.448502
UAL,2021-04-01,2021-04-01 14:15:00+00:00,2021-04-01 10:15:00-04:00,58.21,58.28,58.09,58.15,3292,42,58.202401
UAL,2021-04-01,2021-04-01 14:20:00+00:00,2021-04-01 10:20:00-04:00,58.13,58.13,57.93,58.04,2774,38,58.015218
UAL,2021-04-01,2021-04-01 14:25:00+00:00,2021-04-01 10:25:00-04:00,58.08,58.14,58.02,58.14,1716,23,58.056072
UAL,2021-04-01,2021-04-01 14:30:00+00:00,2021-04-01 10:30:00-04:00,58.1,58.1,57.83,57.83,1860,23,57.907222
UAL,2021-04-01,2021-04-01 14:35:00+00:00,2021-04-01 10:35:00-04:00,57.82,57.97,57.8,57.97,2498,23,57.84377
UAL,2021-04-01,2021-04-01 14:40:00+00:00,2021-04-01 10:40:00-04:00,57.9,58.1,57.9,58.09,2120,19,57.998571
UAL,2021-04-01,2021-04-01 14:45:00+00:00,2021-04-01 10:45:00-04:00,58.08,58.19,58.07,58.11,2218,23,58.136239
UAL,2021-04-01,2021-04-01 14:50:00+00:00,2021-04-01 10:50:00-04:00,58.08,58.08,57.84,57.84,2880,28,57.96587
UAL,2021-04-01,2021-04-01 14:55:00+00:00,2021-04-01 10:55:00-04:00,57.81,57.86,57.68,57.82,3012,34,57.789004
UAL,2021-04-01,2021-04-01 15:00:00+00:00,2021-04-01 11:00:00-04:00,57.84,58.0,57.84,57.91,2458,22,57.913958
UAL,2021-04-01,2021-04-01 15:05:00+00:00,2021-04-01 11:05:00-04:00,57.805,57.805,57.66,57.7,3413,29,57.724173
UAL,2021-04-01,2021-04-01 15:10:00+00:00,2021-04-01 11:10:00-04:00,57.68,57.72,57.63,57.7,1824,31,57.682813
UAL,2021-04-01,2021-04-01 15:15:00+00:00,2021-04-01 11:15:00-04:00,57.69,57.7,57.53,57.535,4984,39,57.608655
UAL,2021-04-01,2021-04-01 15:20:00+00:00,2021-04-01 11:20:00-04:00,57.485,57.6,57.44,57.53,4397,44,57.528222
UAL,2021-04-01,2021-04-01 15:25:00+00:00,2021-04-01 11:25:00-04:00,57.555,57.615,57.555,57.58,3250,21,57.578387
UAL,2021-04-01,2021-04-01 15:30:00+00:00,2021-04-01 11:30:00-04:00,57.63,57.78,57.63,57.72,4016,28,57.684939
UAL,2021-04-01,2021-04-01 15:35:00+00:00,2021-04-01 11:35:00-04:00,57.7,57.73,57.6,57.64,1729,19,57.646645
UAL,2021-04-01,2021-04-01 15:40:00+00:00,2021-04-01 11:40:00-04:00,57.62,57.65,57.54,57.55,4731,24,57.608724
UAL,2021-04-01,2021-04-01 15:45:00+00:00,2021-04-01 11:45:00-04:00,57.57,57.57,57.405,57.405,1431,18,57.493571
UAL,2021-04-01,2021-04-01 15:50:00+00:00,2021-04-01 11:50:00-04:00,57.41,57.51,57.395,57.51,2202,26,57.447
UAL,2021-04-01,2021-04-01 15:55:00+00:00,2021-04-01 11:55:00-04:00,57.52,57.52,57.46,57.48,1477,17,57.494646
UAL,2021-04-01,2021-04-01 16:00:00+00:00,2021-04-01 12:00:00-04:00,57.575,57.59,57.545,57.58,2111,24,57.57175
UAL,2021-04-01,2021-04-01 16:05:00+00:00,2021-04-01 12:05:00-04:00,57.65,57.7,57.63,57.68,2399,26,57.664286
UAL,2021-04-01,2021-04-01 16:10:00+00:00,2021-04-01 12:10:00-04:00,57.67,57.74,57.66,57.74,2044,19,57.702222
UAL,2021-04-01,2021-04-01 16:15:00+00:00,2021-04-01 12:15:00-04:00,57.71,57.78,57.71,57.77,905,12,57.75375
UAL,2021-04-01,2021-04-01 16:20:00+00:00,2021-04-01 12:20:00-04:00,57.795,57.8,57.75,57.75,2209,23,57.778229
UAL,2021-04-01,2021-04-01 16:25:00+00:00,2021-04-01 12:25:00-04:00,57.73,57.73,57.57,57.57,1885,20,57.645588
UAL,2021-04-01,2021-04-01 16:30:00+00:00,2021-04-01 12:30:00-04:00,57.555,57.61,57.51,57.61,5402,41,57.558945
UAL,2021-04-01,2021-04-01 16:35:00+00:00,2021-04-01 12:35:00-04:00,57.58,57.58,57.55,57.57,1200,16,57.565
