,"Delta Air Lines Inc - GJR-GARCH Volatility"
2007-04-30,0.6961700223364978
2007-05-01,0.9117879819343969
2007-05-02,0.8887454911278032
2007-05-03,0.8655768111496518
2007-05-04,0.8428776210103103
2007-05-07,0.8315490893507129
2007-05-08,0.8260563709578179
2007-05-09,0.8042830024313581
2007-05-10,0.7832349302731589
2007-05-11,0.7681259193647876
2007-05-14,0.7541159857740718
2007-05-15,0.75320684011764
2007-05-16,0.7335300730031454
2007-05-17,0.7180238380443925
2007-05-18,0.6998717482510636
2007-05-21,0.6854711022355356
2007-05-22,0.6694989708729955
2007-05-23,0.6551438437473103
2007-05-24,0.6397432578777208
2007-05-25,0.6263087864623966
2007-05-29,0.6111928795396753
2007-05-30,0.5960813233108382
2007-05-31,0.5808948579562399
2007-06-01,0.5685297142630278
2007-06-04,0.5787613497807191
2007-06-05,0.5641662520924129
2007-06-06,0.5499051881915645
2007-06-07,0.5469586967952882
2007-06-08,0.5345340700086385
2007-06-11,0.5324199658164596
2007-06-12,0.519100290887994
2007-06-13,0.506858891605938
2007-06-14,0.4951021821806081
2007-06-15,0.48294036153545916
2007-06-18,0.47822897528276137
2007-06-19,0.4679179428062147
2007-06-20,0.4594961240315309
2007-06-21,0.4486807421764389
2007-06-22,0.43862402806959855
2007-06-25,0.43448249631026564
2007-06-26,0.4242260487051685
2007-06-27,0.4145668076438344
2007-06-28,0.4057186335380715
2007-06-29,0.39634624862612233
2007-07-02,0.38824954088833125
2007-07-03,0.38544164850207874
2007-07-05,0.3776632833623094
2007-07-06,0.37042248257901406
2007-07-09,0.3653457545941926
2007-07-10,0.38610500696054173
2007-07-11,0.3951459335486069
2007-07-12,0.3873280051842366
2007-07-13,0.3786009556247845
2007-07-16,0.3725693562278036
2007-07-17,0.3650485551265749
2007-07-18,0.3574040654497372
2007-07-19,0.3498492315269537
2007-07-20,0.34308197795862144
2007-07-23,0.3413599853527065
2007-07-24,0.33475294830665797
2007-07-25,0.34828691965102565
2007-07-26,0.46709770326988337
2007-07-27,0.49121747892354156
2007-07-30,0.49726307403626907
2007-07-31,0.4884617540811154
2007-08-01,0.48014227641398133
2007-08-02,0.47191822850998244
2007-08-03,0.4624698610720487
2007-08-06,0.481226037948904
2007-08-07,0.4718681375130133
2007-08-08,0.46041836540259773
2007-08-09,0.47494086874052016
2007-08-10,0.47008272335834683
2007-08-13,0.46394188256720265
2007-08-14,0.46048899270232296
2007-08-15,0.5616164420670036
2007-08-16,0.54784465316365
2007-08-17,0.534148058126209
2007-08-20,0.5208694308557568
2007-08-21,0.5439589543338725
2007-08-22,0.532111514628278
2007-08-23,0.5194091912933386
2007-08-24,0.5071881662657362
2007-08-27,0.5128753532779675
2007-08-28,0.5082339658070877
2007-08-29,0.495646523240101
2007-08-30,0.49368068181771096
2007-08-31,0.4822703967692813
2007-09-04,0.4766105731097454
2007-09-05,0.46510929167239823
2007-09-06,0.45668208460591053
2007-09-07,0.4599404091836246
2007-09-10,0.4512245578423232
2007-09-11,0.44133076167427987
2007-09-12,0.4529466962016613
2007-09-13,0.44501067672585115
2007-09-14,0.4344312792605984
2007-09-17,0.44349428902749133
2007-09-18,0.43431217482359397
2007-09-19,0.43449806904058846
2007-09-20,0.4475834031775531
2007-09-21,0.43879416905879687
2007-09-24,0.5937220865017572
2007-09-25,0.5925433047465815
2007-09-26,0.5845695647226257
2007-09-27,0.569821424658638
2007-09-28,0.5555667268654594
2007-10-01,0.5423773667844188
2007-10-02,0.5351390548259396
2007-10-03,0.5226928505346137
2007-10-04,0.5340260892503287
2007-10-05,0.5243208407072906
2007-10-08,0.5121368176571569
2007-10-09,0.4995579750139117
2007-10-10,0.48725089389348486
2007-10-11,0.47852410472200874
2007-10-12,0.4704875811325948
2007-10-15,0.45907762088779713
2007-10-16,0.44807732457690824
2007-10-17,0.4385080450801331
