Dataset,Rows,Columns,Start,End,Missing_Before_Cleaning
DAL RV,1251,8,2021-04-01 00:00:00,2026-03-31 00:00:00,0
JETS RV,1254,8,2021-04-01 00:00:00,2026-03-31 00:00:00,0
LUV RV,1251,8,2021-04-01 00:00:00,2026-03-31 00:00:00,0
UAL RV,1254,8,2021-04-01 00:00:00,2026-03-31 00:00:00,0
DAL IV,4776,1,2007-05-04,2026-04-20,8
UAL IV,5090,1,2006-02-10,2026-04-20,13
LUV IV,11546,1,1994-03-01,2026-04-20,3532
JETS IV,2759,1,2015-05-15,2026-04-20,16
OVX,4770,1,2007-05-10,2026-04-20,0
TOSI,526,1,1982-02-01,2025-11-01,0
